emp_id,employee_name,department,job_title,hire_date,salary,performance_rating,experience_yrs,location,hire_year,hire_month,hire_quarter,hire_month_year,hire_day_name,hire_is_weekend,experience_level
EMP-5001,Employee 1,Finance,Account Executive,2023-08-27,5000.0,99.0,12.0,Remote,2023.0,8.0,2023Q3,2023-08,Sunday,True,Lead/Principal (10+ yrs)
EMP-5002,Employee 2,Engineering,Software Engineer,2024-08-03,95000.0,4.0,12.0,Remote,2024.0,8.0,2024Q3,2024-08,Saturday,True,Lead/Principal (10+ yrs)
EMP-5003,Employee 3,Finance,Senior Developer,2023-12-23,85000.0,5.0,15.0,Hyderabad,2023.0,12.0,2023Q4,2023-12,Saturday,True,Lead/Principal (10+ yrs)
EMP-5004,Employee 4,Finance,Marketing Lead,2024-01-14,95000.0,4.0,8.0,Remote,2024.0,1.0,2024Q1,2024-01,Sunday,True,Senior (6-10 yrs)
EMP-5005,Employee 5,Marketing,Account Executive,2025-01-22,95000.0,4.0,1.0,Remote,2025.0,1.0,2025Q1,2025-01,Wednesday,False,Junior (0-2 yrs)
EMP-5006,Employee 6,Engineering,Marketing Lead,2023-04-05,5000.0,4.0,1.0,Bangalore,2023.0,4.0,2023Q2,2023-04,Wednesday,False,Junior (0-2 yrs)
EMP-5007,Employee 7,Sales,Account Executive,,120000.0,2.0,5.0,Pune,,,,,,False,Mid-Level (3-5 yrs)
EMP-5008,Employee 8,Finance,Financial Analyst,2022-05-30,95000.0,4.0,12.0,Hyderabad,2022.0,5.0,2022Q2,2022-05,Monday,False,Lead/Principal (10+ yrs)
EMP-5009,Employee 9,Sales,Marketing Lead,2022-11-20,120000.0,1.0,3.0,Remote,2022.0,11.0,2022Q4,2022-11,Sunday,True,Mid-Level (3-5 yrs)
EMP-5010,Employee 10,Human Resources,Account Executive,2021-10-07,120000.0,2.0,15.0,Pune,2021.0,10.0,2021Q4,2021-10,Thursday,False,Lead/Principal (10+ yrs)
EMP-5011,Employee 11,Finance,Senior Developer,2020-09-18,95000.0,5.0,12.0,Remote,2020.0,9.0,2020Q3,2020-09,Friday,False,Lead/Principal (10+ yrs)
EMP-5012,Employee 12,Finance,Hr Specialist,2024-04-21,1450000.0,4.0,12.0,Pune,2024.0,4.0,2024Q2,2024-04,Sunday,True,Lead/Principal (10+ yrs)
EMP-5013,Employee 13,Marketing,Financial Analyst,2020-07-19,85000.0,5.0,8.0,Bangalore,2020.0,7.0,2020Q3,2020-07,Sunday,True,Senior (6-10 yrs)
EMP-5014,Employee 14,Marketing,Marketing Lead,2024-02-21,85000.0,5.0,3.0,Remote,2024.0,2.0,2024Q1,2024-02,Wednesday,False,Mid-Level (3-5 yrs)
EMP-5015,Employee 15,Marketing,Hr Specialist,2022-04-08,95000.0,2.0,3.0,Remote,2022.0,4.0,2022Q2,2022-04,Friday,False,Mid-Level (3-5 yrs)
EMP-5016,Employee 16,Engineering,Senior Developer,,95000.0,99.0,12.0,Remote,,,,,,False,Lead/Principal (10+ yrs)
EMP-5017,Employee 17,Finance,Marketing Lead,2024-06-15,5000.0,3.0,3.0,Pune,2024.0,6.0,2024Q2,2024-06,Saturday,True,Mid-Level (3-5 yrs)
EMP-5018,Employee 18,Sales,Account Executive,2023-01-27,120000.0,2.0,45.0,Remote,2023.0,1.0,2023Q1,2023-01,Friday,False,Lead/Principal (10+ yrs)
EMP-5019,Employee 19,Hr,Senior Developer,2022-09-25,5000.0,4.0,12.0,Bangalore,2022.0,9.0,2022Q3,2022-09,Sunday,True,Lead/Principal (10+ yrs)
EMP-5020,Employee 20,Sales,Marketing Lead,2020-04-03,95000.0,5.0,3.0,Pune,2020.0,4.0,2020Q2,2020-04,Friday,False,Mid-Level (3-5 yrs)
EMP-5021,Employee 21,Marketing,Hr Specialist,2020-02-09,5000.0,4.5,1.0,Remote,2020.0,2.0,2020Q1,2020-02,Sunday,True,Junior (0-2 yrs)
EMP-5022,Employee 22,Sales,Software Engineer,2025-05-14,95000.0,2.0,15.0,Bangalore,2025.0,5.0,2025Q2,2025-05,Wednesday,False,Lead/Principal (10+ yrs)
EMP-5023,Employee 23,Engineering,Account Executive,2021-11-09,120000.0,4.0,15.0,Remote,2021.0,11.0,2021Q4,2021-11,Tuesday,False,Lead/Principal (10+ yrs)
EMP-5024,Employee 24,Marketing,Senior Developer,2024-05-29,85000.0,4.5,45.0,Remote,2024.0,5.0,2024Q2,2024-05,Wednesday,False,Lead/Principal (10+ yrs)
EMP-5025,Employee 25,Finance,Account Executive,2021-05-13,1450000.0,1.0,5.0,Remote,2021.0,5.0,2021Q2,2021-05,Thursday,False,Mid-Level (3-5 yrs)
EMP-5026,Employee 26,Finance,Senior Developer,2024-06-09,120000.0,99.0,5.0,Remote,2024.0,6.0,2024Q2,2024-06,Sunday,True,Mid-Level (3-5 yrs)
EMP-5027,Employee 27,Hr,Marketing Lead,,85000.0,1.0,1.0,Pune,,,,,,False,Junior (0-2 yrs)
