fiscal_quarter,business_unit,gross_revenue,operating_cost,marketing_spend,tax_rate_pct,report_status,gross_profit,profit_margin_pct
Q1-2025,Engineering,625468.0,365976.0,71240.0,18.0,Draft,259492.0,41.49
Q1-2025,Sales & Marketing,1194620.0,924834.0,48315.5,0.18,Draft,269786.0,22.58
Q1-2025,Operations,940389.0,251538.0,36564.0,18.0,Audited,688851.0,73.25
Q1-2025,General & Admin,1044081.0,292029.0,40106.0,18.0,Audited,752052.0,72.03
Q2-2025,Engineering,417583.0,201754.0,37127.0,18.0,Draft,215829.0,51.69
Q2-2025,Sales & Marketing,1004807.0,639376.0,74425.0,18.0,Draft,365431.0,36.37
Q2-2025,Operations,278077.0,108712.0,37128.0,18.0,Draft,169365.0,60.91
Q2-2025,General & Admin,495064.0,351514.0,52712.0,0.18,Audited,143550.0,29.0
Q3-2025,Engineering,557246.0,382727.0,48315.5,18.0,Audited,174519.0,31.32
Q3-2025,Sales & Marketing,826256.0,513089.0,31644.0,18.0,Draft,313167.0,37.9
Q3-2025,Operations,242291.0,135060.0,35675.0,18.0,Pending,107231.0,44.26
Q3-2025,General & Admin,908672.0,437369.0,43919.0,18.0,Audited,471303.0,51.87
Q4-2025,Engineering,1450130.0,658963.0,36400.0,18.0,Pending,791167.0,54.56
Q4-2025,Sales & Marketing,672963.0,188791.0,66184.0,18.0,Draft,484172.0,71.95
Q4-2025,Operations,1233668.0,925626.0,77391.0,18.0,Draft,308042.0,24.97
Q4-2025,General & Admin,497675.0,283887.0,79267.0,18.0,Draft,213788.0,42.96
Q1-2026,Engineering,227798.0,164887.0,53526.0,18.0,Draft,62911.0,27.62
Q1-2026,Sales & Marketing,605105.0,386479.0,63747.0,18.0,Draft,218626.0,36.13
Q1-2026,Operations,331184.0,187051.0,26523.0,18.0,Audited,144133.0,43.52
Q1-2026,General & Admin,1390456.0,335419.0,48315.5,18.0,Draft,1055037.0,75.88
Q2-2026,Engineering,842927.0,317813.0,48315.5,18.0,Draft,525114.0,62.3
Q2-2026,Sales & Marketing,697952.0,146220.0,55270.0,0.18,Draft,551732.0,79.05
Q2-2026,Operations,683455.0,466389.0,65633.0,18.0,Audited,217066.0,31.76
Q2-2026,General & Admin,1274567.0,614265.0,20561.0,18.0,Pending,660302.0,51.81
