2026-08-26 22:54:29 | INFO     | DataCleaner | [VALIDATE] Validation complete. Overall Health Score: 62.6/100 [C (Needs Attention)]. Found 6 issue categories.
2026-08-26 22:54:29 | INFO     | DataCleaner | [TRANSFORM] Applied 8 feature engineering transformations.
2026-08-26 22:54:29 | INFO     | DataCleaner | [ANALYZE] Calculated 7 dynamic KPIs.
2026-08-26 22:54:29 | INFO     | DataCleaner | [CLEAN] Column names standardized.
2026-08-26 22:54:29 | INFO     | DataCleaner | [CLEAN] Removed 1 duplicate rows.
2026-08-26 22:54:29 | INFO     | DataCleaner | [CLEAN] Converted data types: ['order_date', 'unit_price', 'discount_pct']
2026-08-26 22:54:29 | INFO     | DataCleaner | [CLEAN] Fixed negative values in {'quantity': 1}
2026-08-26 22:54:29 | INFO     | DataCleaner | [CLEAN] Categorical normalization completed.
2026-08-26 22:54:29 | INFO     | DataCleaner | [CLEAN] Imputed missing values across 2 columns.
2026-08-26 22:54:29 | INFO     | DataCleaner | [CLEAN] Cleaning completed successfully. Shape changed from (5, 9) to (4, 9).
2026-08-26 22:54:30 | INFO     | DataCleaner | [TRANSFORM] Applied 8 feature engineering transformations.
2026-08-26 22:54:30 | INFO     | DataCleaner | [VALIDATE] Validation complete. Overall Health Score: 62.6/100 [C (Needs Attention)]. Found 6 issue categories.
2026-08-26 22:54:30 | INFO     | DataCleaner | [VALIDATE] Validation complete. Overall Health Score: 88.3/100 [A (Good)]. Found 2 issue categories.
2026-08-26 22:54:30 | INFO     | DataCleaner | [ANALYZE] Calculated 9 dynamic KPIs.
2026-08-26 22:54:30 | INFO     | DataCleaner | [INSIGHTS] Generated 5 quality, 6 business, and 4 recommendation points.
2026-08-26 22:54:30 | INFO     | DataCleaner | [EXPORT] Saved styled Excel report to 'C:\Users\amitk\AppData\Local\Temp\pytest-of-amitk\pytest-0\test_multi_format_report_gener0\test_report.xlsx'.
2026-08-26 22:54:30 | INFO     | DataCleaner | [EXPORT] PDF report compiled successfully.
2026-08-26 22:54:30 | INFO     | DataCleaner | [EXPORT] Saved HTML report to 'C:\Users\amitk\AppData\Local\Temp\pytest-of-amitk\pytest-0\test_multi_format_report_gener0\test_report.html'.
2026-08-26 22:54:30 | INFO     | DataCleaner | [CLEAN] Column names standardized.
2026-08-26 22:54:30 | INFO     | DataCleaner | [CLEAN] Cleaning completed successfully. Shape changed from (0, 0) to (0, 0).
2026-08-26 22:54:50 | INFO     | DataCleaner | [VALIDATE] Validation complete. Overall Health Score: 62.6/100 [C (Needs Attention)]. Found 6 issue categories.
2026-08-26 22:54:50 | INFO     | DataCleaner | [TRANSFORM] Applied 8 feature engineering transformations.
2026-08-26 22:54:50 | INFO     | DataCleaner | [ANALYZE] Calculated 7 dynamic KPIs.
2026-08-26 22:54:50 | INFO     | DataCleaner | [CLEAN] Column names standardized.
2026-08-26 22:54:50 | INFO     | DataCleaner | [CLEAN] Removed 1 duplicate rows.
2026-08-26 22:54:50 | INFO     | DataCleaner | [CLEAN] Converted data types: ['order_date', 'unit_price', 'discount_pct']
2026-08-26 22:54:50 | INFO     | DataCleaner | [CLEAN] Fixed negative values in {'quantity': 1}
2026-08-26 22:54:50 | INFO     | DataCleaner | [CLEAN] Categorical normalization completed.
2026-08-26 22:54:50 | INFO     | DataCleaner | [CLEAN] Imputed missing values across 2 columns.
2026-08-26 22:54:50 | INFO     | DataCleaner | [CLEAN] Cleaning completed successfully. Shape changed from (5, 9) to (4, 9).
2026-08-26 22:54:50 | INFO     | DataCleaner | [TRANSFORM] Applied 8 feature engineering transformations.
2026-08-26 22:54:50 | INFO     | DataCleaner | [VALIDATE] Validation complete. Overall Health Score: 62.6/100 [C (Needs Attention)]. Found 6 issue categories.
2026-08-26 22:54:50 | INFO     | DataCleaner | [VALIDATE] Validation complete. Overall Health Score: 94.2/100 [A+ (Excellent)]. Found 2 issue categories.
2026-08-26 22:54:50 | INFO     | DataCleaner | [ANALYZE] Calculated 9 dynamic KPIs.
2026-08-26 22:54:51 | INFO     | DataCleaner | [INSIGHTS] Generated 5 quality, 6 business, and 4 recommendation points.
2026-08-26 22:54:51 | INFO     | DataCleaner | [EXPORT] Saved styled Excel report to 'C:\Users\amitk\AppData\Local\Temp\pytest-of-amitk\pytest-1\test_multi_format_report_gener0\test_report.xlsx'.
